zip,primary_city,latitude,longitude,irs_estimated_population
43002,Amlin,40.07,-83.18,79
43004,Blacklick,40.02,-82.8,25320
43016,Dublin,40.1,-83.15,38700
43017,Dublin,40.11,-83.13,39840
43026,Hilliard,40.03,-83.14,58440
43054,New Albany,40.07,-82.8,24190
43068,Reynoldsburg,39.95,-82.79,52040
43069,Reynoldsburg,39.95,-82.81,0
43081,Westerville,40.12,-82.91,56420
43085,Columbus,40.1,-83.01,24230
43086,Westerville,40.12,-82.91,646
43109,Brice,39.92,-82.83,315
43110,Canal Winchester,39.84,-82.82,34950
43119,Galloway,39.93,-83.19,28160
43123,Grove City,39.87,-83.07,59960
43125,Groveport,39.86,-82.89,12020
43126,Harrisburg,39.81,-83.17,410
43194,Lockbourne,39.8,-82.96,0
43195,Groveport,39.86,-82.89,0
43196,Groveport,39.86,-82.89,0
43198,Groveport,39.86,-82.89,0
43199,Groveport,39.86,-82.89,0
43201,Columbus,39.98,-82.98,14420
43202,Columbus,40.02,-83.02,14320
43203,Columbus,39.97,-82.97,6210
43204,Columbus,39.96,-83.08,36370
43205,Columbus,39.96,-82.96,9280
43206,Columbus,39.94,-82.97,18870
43207,Columbus,39.89,-82.96,40130
43209,Columbus,39.95,-82.93,24220
43210,Columbus,40.01,-83.02,590
43211,Columbus,40.01,-82.97,18180
43212,Columbus,39.99,-83.04,17330
43213,Columbus,39.97,-82.86,31370
43214,Columbus,40.05,-83.02,23750
43215,Columbus,39.97,-83.01,11250
43216,Columbus,39.98,-82.98,512
43217,Columbus,39.82,-82.92,2030
43218,Columbus,39.98,-82.98,0
43219,Columbus,40.01,-82.92,25100
43220,Columbus,40.05,-83.07,25220
43221,Columbus,40.02,-83.08,32110
43222,Columbus,39.96,-83.04,3480
43223,Columbus,39.93,-83.03,21570
43224,Columbus,40.04,-82.96,39830
43226,Columbus,39.98,-82.98,125
43227,Columbus,39.94,-82.89,21850
43228,Columbus,39.97,-83.13,50960
43229,Columbus,40.09,-82.98,48250
43230,Columbus,40.04,-82.87,52200
43231,Columbus,40.08,-82.93,19350
43232,Columbus,39.92,-82.87,40170
43234,Columbus,39.98,-82.98,174
43235,Columbus,40.12,-83.03,40220
43236,Columbus,39.98,-82.98,252
43251,Columbus,39.98,-82.98,22
43260,Columbus,39.98,-82.98,0
43265,Columbus,39.96,-82.99,0
43266,Columbus,39.98,-82.98,0
43268,Columbus,39.98,-82.98,0
43270,Columbus,39.98,-82.98,0
43271,Columbus,39.98,-82.98,138
43272,Columbus,39.98,-82.98,0
43279,Columbus,39.98,-82.98,0
43287,Columbus,39.98,-82.98,0
43291,Columbus,39.98,-82.98,0
43299,Columbus,40.03,-82.86,0
