zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
,39.9692378, -82.936864,Bexley,OH, Ohio,
43001,40.08865,-82.61363,Alexandria,OH,Ohio,TRUE,,2810,34.9,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43002,40.06333,-83.1739,Amlin,OH,Ohio,TRUE,,3744,872.4,39049,Franklin,{'39049':100},Franklin,39049,FALSE,FALSE,America/New_York
43003,40.41034,-82.97538,Ashley,OH,Ohio,TRUE,,3005,33.2,39041,Delaware,"{'39041':74.7,'39117':25.3}",Delaware|Morrow,39041|39117,FALSE,FALSE,America/New_York
43004,40.01581,-82.80012,Blacklick,OH,Ohio,TRUE,,26139,678.2,39049,Franklin,{'39049':100},Franklin,39049,FALSE,FALSE,America/New_York
43005,40.2862,-82.27703,Bladensburg,OH,Ohio,TRUE,,201,80.7,39083,Knox,{'39083':100},Knox,39083,FALSE,FALSE,America/New_York
43006,40.45874,-82.14575,Brinkhaven,OH,Ohio,TRUE,,655,13.3,39075,Holmes,"{'39031':31.39,'39075':44.65,'39083':23.97}",Holmes|Coshocton|Knox,39075|39031|39083,FALSE,FALSE,America/New_York
43008,39.93378,-82.48142,Buckeye Lake,OH,Ohio,TRUE,,2614,642.3,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43009,40.17253,-83.64152,Cable,OH,Ohio,TRUE,,2453,23.9,39021,Champaign,{'39021':100},Champaign,39021,FALSE,FALSE,America/New_York
43010,39.99946,-83.62197,Catawba,OH,Ohio,TRUE,,260,455.1,39023,Clark,{'39023':100},Clark,39023,FALSE,FALSE,America/New_York
43011,40.31046,-82.68615,Centerburg,OH,Ohio,TRUE,,7722,35.1,39089,Licking,"{'39041':8.48,'39083':68.36,'39089':9.73,'39117':13.43}",Licking|Delaware|Knox|Morrow,39089|39041|39083|39117,FALSE,FALSE,America/New_York
43013,40.23221,-82.68765,Croton,OH,Ohio,TRUE,,809,24.1,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43014,40.47131,-82.2564,Danville,OH,Ohio,TRUE,,3507,21.3,39083,Knox,{'39083':100},Knox,39083,FALSE,FALSE,America/New_York
43015,40.2968,-83.06069,Delaware,OH,Ohio,TRUE,,55462,148.6,39041,Delaware,"{'39041':99.85,'39159':0.15}",Delaware|Union,39041|39159,FALSE,FALSE,America/New_York
43016,40.09859,-83.15376,Dublin,OH,Ohio,TRUE,,36260,667.2,39049,Franklin,"{'39041':0.65,'39049':92.2,'39159':7.15}",Franklin|Union|Delaware,39049|39159|39041,FALSE,FALSE,America/New_York
43017,40.1168,-83.13008,Dublin,OH,Ohio,TRUE,,40649,861.5,39049,Franklin,"{'39041':15.81,'39049':82.42,'39159':1.76}",Franklin|Delaware|Union,39049|39041|39159,FALSE,FALSE,America/New_York
43019,40.49343,-82.5764,Fredericktown,OH,Ohio,TRUE,,9295,31.8,39083,Knox,"{'39083':78.61,'39117':20.47,'39139':0.92}",Knox|Morrow|Richland,39083|39117|39139,FALSE,FALSE,America/New_York
43021,40.20095,-82.88427,Galena,OH,Ohio,TRUE,,12327,111.6,39041,Delaware,{'39041':100},Delaware,39041,FALSE,FALSE,America/New_York
43022,40.33833,-82.33968,Gambier,OH,Ohio,TRUE,,4500,38.9,39083,Knox,{'39083':100},Knox,39083,FALSE,FALSE,America/New_York
43023,40.07525,-82.5318,Granville,OH,Ohio,TRUE,,13864,98.5,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43025,39.96634,-82.51675,Hebron,OH,Ohio,TRUE,,5100,58.6,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43026,40.02275,-83.18552,Hilliard,OH,Ohio,TRUE,,62169,594.7,39049,Franklin,"{'39049':99.97,'39097':0.03}",Franklin|Madison,39049|39097,FALSE,FALSE,America/New_York
43028,40.40034,-82.29353,Howard,OH,Ohio,TRUE,,8335,54.4,39083,Knox,{'39083':100},Knox,39083,FALSE,FALSE,America/New_York
43029,40.09512,-83.45856,Irwin,OH,Ohio,TRUE,,563,10.9,39097,Madison,"{'39097':72.74,'39159':27.26}",Madison|Union,39097|39159,FALSE,FALSE,America/New_York
43030,39.9615,-82.41584,Jacksontown,OH,Ohio,TRUE,,113,479.1,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43031,40.16104,-82.66621,Johnstown,OH,Ohio,TRUE,,13408,53.4,39089,Licking,"{'39041':3.1,'39089':96.9}",Licking|Delaware,39089|39041,FALSE,FALSE,America/New_York
43032,40.32861,-82.95882,Kilbourne,OH,Ohio,TRUE,,19,608.5,39041,Delaware,{'39041':100},Delaware,39041,FALSE,FALSE,America/New_York
43033,39.96093,-82.60006,Kirkersville,OH,Ohio,TRUE,,298,329.8,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43035,40.18913,-82.99511,Lewis Center,OH,Ohio,TRUE,,27011,487.4,39041,Delaware,{'39041':100},Delaware,39041,FALSE,FALSE,America/New_York
43036,40.35234,-83.26227,Magnetic Springs,OH,Ohio,TRUE,,270,466.8,39159,Union,{'39159':100},Union,39159,FALSE,FALSE,America/New_York
43037,40.27801,-82.3258,Martinsburg,OH,Ohio,TRUE,,301,44.7,39083,Knox,{'39083':100},Knox,39083,FALSE,FALSE,America/New_York
43040,40.26097,-83.35955,Marysville,OH,Ohio,TRUE,,34169,73.4,39159,Union,"{'39041':0.19,'39159':99.81}",Union|Delaware,39159|39041,FALSE,FALSE,America/New_York
43044,40.05026,-83.56423,Mechanicsburg,OH,Ohio,TRUE,,4866,27.2,39021,Champaign,"{'39021':84.84,'39023':12.79,'39097':2.37}",Champaign|Madison|Clark,39021|39097|39023,FALSE,FALSE,America/New_York
43045,40.16988,-83.44859,Milford Center,OH,Ohio,TRUE,,1982,19.9,39159,Union,"{'39021':1.02,'39159':98.98}",Union|Champaign,39159|39021,FALSE,FALSE,America/New_York
43046,39.89864,-82.54119,Millersport,OH,Ohio,TRUE,,3812,51.6,39045,Fairfield,"{'39045':89.28,'39089':10.72}",Fairfield|Licking,39045|39089,FALSE,FALSE,America/New_York
43050,40.3723,-82.4956,Mount Vernon,OH,Ohio,TRUE,,28508,71.9,39083,Knox,"{'39083':99.61,'39117':0.39}",Knox|Morrow,39083|39117,FALSE,FALSE,America/New_York
43054,40.08084,-82.80348,New Albany,OH,Ohio,TRUE,,26953,396.2,39049,Franklin,{'39049':100},Franklin,39049,FALSE,FALSE,America/New_York
43055,40.11784,-82.37652,Newark,OH,Ohio,TRUE,,61904,204,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43056,40.01135,-82.33506,Heath,OH,Ohio,TRUE,,19039,78.4,39089,Licking,{'39089':100},Licking,39089,FALSE,FALSE,America/New_York
43060,40.21996,-83.57248,North Lewisburg,OH,Ohio,TRUE,,2809,37.3,39091,Logan,"{'39021':88.06,'39091':9.56,'39159':2.38}",Logan|Champaign|Union,39091|39021|39159,FALSE,FALSE,America/New_York
43061,40.28659,-83.20325,Ostrander,OH,Ohio,TRUE,,4278,33.9,39041,Delaware,"{'39041':82.35,'39159':17.65}",Delaware|Union,39041|39159,FALSE,FALSE,America/New_York
43062,40.00753,-82.6828,Pataskala,OH,Ohio,TRUE,,29460,135.4,39089,Licking,"{'39045':0.65,'39089':99.35}",Licking|Fairfield,39089|39045,FALSE,FALSE,America/New_York
43064,40.09807,-83.28778,Plain City,OH,Ohio,TRUE,,14243,47.2,39097,Madison,"{'39049':0.07,'39097':55.23,'39159':44.7}",Madison|Union|Franklin,39097|39159|39049,FALSE,FALSE,America/New_York
